HABERLER,ETIKET
"Dr. Mine Özduman Cin, diyabetin cinsel yaşamı olumsuz yönde etkilediğini söyledi",Sağlık
Erkekler için yeni doğum kontrol yöntemi geliştirildi!,Sağlık
Sakarya Üniversitesi (SAÜ) Sağlık Bilimleri Fakültesi tarafından 'Kanserli Hastalıklarda Cinsellik' başlıklı bir etkinlik düzenlendi,Sağlık
"Psikolog Mehmet Başkak, cinsel istek azlığının ardında yatan ya da yatması muhtemel problemler ve çözüm yolları hakkında önerilerde bulundu",Sağlık
ABD'de yapılan araştırmaya göre seks zeka seviyesini artırıyor. Araştırma kapsamında orta yaşlı farelerde çiftleştikten sonra beyin hücrelerinin sayısının arttığını belirlendi,Sağlık
"Prof. Dr. Okan Bölükbaşı orgazmik başağrısı konusunda sık sorulan, çeşitleri, etkileri nelerdir, cinsel ilişki ile baş ağrısı yaşayanlar ne yapmalıdır? sorularını cevapladı",Sağlık
"Yetişkinlerin yüzde 45'inde görülen horlama, tedavi edilmediği takdirde başta uyku apnesi olmak üzere birçok hastalığı da beraberinde getiriyor",Sağlık
"Cinsel terapistlere göre, olumsuz düşünceleri cinsel hayatın tamamen dışında bırakarak “cinsel detoks” yapmak mümkün...",Sağlık
Japonya'da evli çiftlerin yarısı seks yapmıyor!,Sağlık
"Kadınlarda ciddi tansiyon düşmelerine yol açabilen kadın cinsel uyarıcı, alkol ile birlikte alındığında, baygınlık ve bilinç kaybına neden olabilir",Sağlık
Kadınlarda cinsel isteksizlik testosteron hormonu ile tedavi edilebilir,Sağlık
Regl döneminde sevişmek sakıncalı mıdır? sorusunun yanıtını Cinsel Terapi Uzmanı Dr. Cem Keçe verdi,Sağlık
"Uzm. Dr. Taner Canatar, erken boşalan erkeklerin ortak özellikleri olduğunu söyleyerek, merak edilenleri anlatıyor",Sağlık
"Erkek kısırlığının genellikle belirti vermediğini ve spermiogram ile tanı konabildiğini belirten Op. Dr. Ümit Zeteroğlu, kısırlık nedenlerini ve tedavi yöntemlerini anlattı",Sağlık
"Op. Dr. Aslı Alay, vajinismus hastalığı hakkında bilgi verdi",Sağlık
Cinsel arzuyu artırmanın yolları!,Sağlık
"Prof. Dr. Bülent Tıraş, sperm seçimi için mikro akışkan çip teknolojisini kullandıklarını ve yüzde 69,4 gibi ciddi bir başarı elde ettiklerini açıkladı",Sağlık
"Orgazm olamayan kadınların kendilerini zorunlu hissettikleri için ilişki esnasında orgazm taklidi yaptıklarını söyleyen Dr. Cem Keçe, tavsiyelerde bulundu",Sağlık
"Düzenli olarak seks yapmanın ne tür faydaları olduğunu biliyor muydunuz? İşte sağlığı olumlu yönde etkileyen düzenli seksin, şaşırtıcı faydaları...",Sağlık
"Hollanda'da yapılan bir araştırma Türk erkeklerinin cinsel ilişki süresinin 3 dakika 7 saniye olduğunu ortaya koydu. Uzmanlara göre neden, cinselliğin geç öğrenilmesi",Sağlık
"Kanada'da bir doktora öğrencisi Caitlin Miron, kanser hücrelerinin yayılmasını önleyebilen bir buluş yapmış olması bilim çevrelerini heyecanlandırdı",Sağlık
Çocuklarda gelişen menisküs yırtığının belirtileri yetişkinlerle hemen hemen aynı oluyor. Dizde ağrı ve kilitlenme en sık görülen yakınmalar arasında...,Sağlık
"KDK, tip 1 diyabetli hastaların şeker ölçüm çubukları, insülin pompası, aparatları ve sürekli ölçüm yapan sensörlere ücretsiz erişim sağlanması talebini haklı bularak, SGK'ya tavsiyede bulundu",Sağlık
Felçli fareler kök hücre tedavisiyle yürüdü,Sağlık
"TBMM Sağlık Komisyonu Başkanı Kavuncu, ""Elektronik sigaranın içindeki nikotin de en az sigara kadar zararlı. Gençlerimizin buna aldanmaması gerekir"" uyarısında bulundu",Sağlık
Diş problemi yüzünden organ nakli şansı kaçabilir,Sağlık
Ailevi Akdeniz Ateşi tedavisi için yeni umut!,Sağlık
"Diyabet kansere neden olur mu? Prof. Dr. Erol Bolu, önlenebilir kanserlerin yüzde 30'unun altında yatan temel nedenin diyabet olduğunu vurguladı",Sağlık
"Prof. Dr. Ümit Beden, göz sağlığında doğru bilinen yanlışları anlattı. ",Sağlık
Sık duş almak bize çok iyi gelir peki ya cildimize? Araştırmalara göre sık duş almak cilt kuruluğuna en çok neden olan etkenlerin başında geliyor. Uzm. Dr. Serpil Özyılmaz sağlıklı bir cilt için yapılması gerekenleri açıkladı,Sağlık
"Denge kaybı, sersemlik ve yerin ayağın altından kayması hissi, baş dönmesi, bulantı ve kusma belirtileriyle ortaya çıkan vertigonun tedavisi kişiye özel olarak uygulanıyor",Sağlık
"Gece sık idrara çıkma, uykudan uyandırma, idrar yaparken zorlanma, ıkınarak idrar yapma ve idrarını yaptığı halde tam boşaltamama belirtileriyle kendini gösteren prostat kanseri",Sağlık
"Bel fıtığı, yaşam kalitesini ciddi anlamda düşürüyor. Peki, bel fıtığının nedenleri nelerdir? Prof. Dr. Yunus Aydın, bel fıtığına davetiye çıkartan hatalı hareketlerimizi anlattı. Bel fıtığından korunmak için tavsiyelerde bulundu",Sağlık
"İdrar kaçırma kadınları daha çok etkiliyor. Gebelik sayısı, vücut kitle indeksi, şeker hastalığı, depresyon, sigara ve menopoz zamanı, idrar kaçırmanın birçok risk faktörü ile ilişkili... ",Sağlık
"Üroloji Uzmanı Prof. Dr. Muammer Kendirci, soğuk havaların prostatı tetiklediğini vurgulayarak dikkat edilmesi gereken püf noktaları açıkladı",Sağlık
"Cilt yaşlanmasını önlemek için yapılması gerekenler konusunda bilgi veren Dermatoloji Uzmanı Dr. Burçak Bozdemir Aral, değiştirilmesi gerekli davranışları anlattı",Sağlık
Kan hastalıklarının tanı ve tedavisinde yapay zeka kullanılacak!,Sağlık
"Gripliyken bol bol tüketilen portakal suyu ve ballı bitki çaylarından sonra ağzı çalkalamak gerektiğine dikat çeken Diş Hekimi Pertev Kökdemir, ""Ağzınızı çalkalamazsanız, dişlerinizi fırçalamazsanız; bu durum çürük başlangıcına veya diş eti hastalıklarına sebep olabilir"" dedi",Sağlık
60 gün içerisinde birtakım sağlıklı yiyecekler ve içeceklerle göz renginizi değiştirebileceğinizi biliyor muydunuz? ,Sağlık
"Dr. Figen Akın, “Akne, bilinenin aksine sadece ergenleri ve genç yaştakileri değil, her yaşta etkili oluyor"" dedi",Sağlık
"Düzenli karbonat kullanımı, asit düzeyini azaltıp kanın doğal pH seviyesini dengelemek yoluyla vücudun genel işleyişini destekliyor",Sağlık
"Nefroloji Uzmanı Prof. Dr. Tekin Akpolat, tuzu azaltmanın 10 pratik yolu hakkında bilgi verdi",Sağlık
"Dr. Şirin Parkan, hem erkekler hem de kadınlar için 40 yaşın önemli bir dönem olduğunu belirterek, bu dönemde yapılacak sağlık testleriyle, bazı hastalıkların erken teşhisinin ya da önlenmesinin mümkün olacağını söyledi",Sağlık
"Eğer ne kadar uyursanız uyuyun ertesi gün kendinizi dinlenmiş hissetmiyorsanız, uyku bozukluklarını da içeren tibbi bir kontrole ihtiyaç duyabilirsiniz",Sağlık
"Dermatolog ve Farmakoloji Uzmanı Dr. Serkan Aygın, erken yaşta saç dökülmesi konusunda bilgi verdi",Sağlık
"Sedef hastalarının yüzde 70'i kendisini çaresiz hissediyor. Sedef hastalarının yarısı uyku problemi, üçte biri ise cinsel sorunlar yaşıyor",Sağlık
"Diş Hekimi Dr. Steven Lin, ""Sağlıklı yeme alışkanlıklarının sürdürülmesi, zayıf ve sağlıksız dişleri engellemenin tek yoludur. Beslenmenize dört önemli vitamin katmanız, ağız sağlığınız için çok faydalıdır. A, K2, D ve E vitaminleri dişlerinizi kurtaracak vitaminlerdir"" açıklamasında bulundu",Sağlık
"İnsan vücudunun çatısını oluşturan kemikler, en az kalp ve beyin kadar önem taşır. Kemik sağlığının bozulması da yaşam kalitesinde düşüş, güç kayıpları, hatta ölüm gibi ciddi tablolarla sonuçlanabilir.",Sağlık
"Prof. Dr. Şeref Kömürcü, “Karaciğer kanseri ve hastalıklarından korunmak için gereksiz ilaçların kullanılmamasına dikkat edilmeli” açıklamasında bulundu",Sağlık
Kanser riski kan testiyle belirlenebiliyor!,Sağlık
"""Damar yoluyla alınan bir ilaç molekülü"" ile akciğer ve pankreas kanseri hastalarına ömür uzatan terapi uygulanabileceği açıklandı",Sağlık
Akciğer kanserinde umut veren yeni tedaviler!,Sağlık
"Foliküler lenfomalı hastaların, iki sıra tedavi aldıktan sonra rahatsızlığı tekrar eden ve bu nedenle tedavi seçenekleri sınırlı olan grubunda kullanılan yeni bir ilacın, tümör hücresinin büyümesi için gerekli bazı enzimleri durdurduğu tespit edildi",Sağlık
Meme kanserinde 72 yeni türün belirlenmesiyle meme kanserinin türleri 180'e çıktı,Sağlık
"Dünyada onkolojik araştırmaların en fazla yapıldığı tümör gruplarından birini oluşturan meme kanserinin tedavisinde, son yıllarda yaşanan ciddi gelişmelerle birlikte yaşam süresi uzadığı gibi metastaz riski de düşüyor",Sağlık
"Tıbbi Onkoloji Bölümünde tedavi gören Serdar Çağlar, kanseri yendiğini ailesinin düzenlediği pastalı sürpriz kutlamada öğrend",Sağlık
"Prof. Dr. Gülçelik, ""Doğurganlık yaşının 30'un üzerine çıkması, emzirme süresinin kısalması meme kanseri görülme sıklığını artırıyor"" dedi",Sağlık
"Doç. Dr. Bülent Değertekin, gereğinden fazla et tüketmenin sindirim sistemi şikayetlerinden eklem ağrılarına kadar birçok sorunun ortaya çıkmasına neden olabildiğine dikkat çekti",Sağlık
30 Ağustos 2017'de ilk kez Amerika Birleşik Devletleri'nde (ABD) akut lenfoblastik lösemide (kan kanseri) bir gen tedavisi onay aldı,Sağlık
Meme kanserinin görülme yaşı giderek düşüyor,Sağlık
25-29 yaş arasında kolon kanseri görülme sıklığı artıyor,Sağlık
"Kalın bağırsak kanserinde erken tanının önemine dikkat çeken St. Joseph Hastanesi Kanser Merkezi'nden Medikal Onkolog Dr. Ümit Tapan, kalın bağırsak kanserinin belirtileri ve tedavisi hakkında bilgi verdi",Sağlık
"Kardiyoloji Uzmanı Dr. Deniz Şener, tansiyona yol açan nedenleri açıkladı",Sağlık
"Uzmanlar, kalp hastalarını kış aylarında soğuğa maruz kalan kalbin yaşayacağı olası tehlikelere karşı uyarıyor",Sağlık
"Hamilelik döneminde bebeğin kalp veya ana damarlarında ortaya çıkan yapısal problemler, doğuştan kalp kusurlarına neden olabiliyor",Sağlık
Kadın ve erkekler üzerinde yapılan bir araştırmaya göre; boşanan kadınların evli olan kadınlara göre kalp krizi geçirme riski yüzde 24 daha fazla,Sağlık
"Kalp sağlığı için az yemek, çok hareket gerekiyor",Sağlık
"Prof. Dr. Güler, ""Haftanın en az dört günü, günlük yarım saatlik süreyle egzersiz yaparsak kalp rahatsızlığının önüne geçebiliriz"" dedi",Sağlık
"Uzmanlar, her yaşta süt içerek kalp sağlığını yakından ilgilendiren hipertansiyonun önlenebileceğini vurguladı",Sağlık
Genç farelerin kalplerinden alınan kök hücreler yaşlı farelere enjekte edildiğinde hayvanların kalpleri gençleşti,Sağlık
"Prof. Dr. Sebahattin Ateşal, stresli yaşamı olan, sinirli ve öfkeli davranan kişilerin kalp hastalıkları açısından tehdit altında olduğu söyledi",Sağlık
Sıcak hava kalp krizi riskini tetikliyor,Sağlık
Günde 25 gram lif yaşamınızı daha iyi sürdürmeniz için gerekli birçok fayda sağlıyor. Fazladan 10 gram lif almanız ise uzun bir yaşamın kapılarını açmaya yardımcı oluyor.,Sağlık
"Beslenme ve Diyet Uzmanı Müge Güzey, aşurenin buğday, kuru fasulye ve nohuttan kuruyemişlerine, meyvelerden baharatlarına dek pek çok malzemesiyle tek başına dengeli bir öğün olmayı başardığını söylüyor",Sağlık
"Dr. Fevzi Özgönül, beslenme ve kilo kontrolü konusunda yapılan yanlışları sıraladı",Sağlık
D vitamini alın: D vitamini almayı ihmal etmeyin. Güneş gören topraklarda yaşıyoruz ve bu konuda çok şanslıyız.,Sağlık
"Uzman Diyetisyen Emre Uzun, kilo aldırmayan atıştırmalıkları Haberturk.com okuyucuları için sıraladı",Sağlık
Göbek yağlanmalarına karşı günde 2 bardak süt,Sağlık
Zayıflamak için önce metabolizmanızı hızlandırmalısınız.,Sağlık
Beslenme alışkanlıklarınızda birkaç küçük değişiklik yaparak fit kalmayı başarabilirsiniz. ,Sağlık
"Araştırmada, 2 yaşından önce antibiyotik verilen çocuklarda obezite riskinin yüzde 25 daha fazla olduğu belirlendi",Sağlık
"Sağlık Bakanlığı, obeziteye karşı reçete sistemine geçecek ve artık doktorlar ilacın yanı sıra reçeteye, ‘egzersiz' ya da ‘fiziksel aktivite programı' da yazacak",Sağlık
Gürültü kirliliği obeziteye yol açıyor,Sağlık
"Kış hastalıklarından korunmanın yollarını Dahiliye Uzmanı Dr. Özlem Kaplan anlattı. Vitaminlerin fazlasının zarar olduğunu söyleyen Dr. Kaplan, ihtiyaçtan fazla kullanılan A,D,E ve K vitamininin ciddi sonuçlar doğurabildiğini çünkü bu vitaminlerin vücutta depolandığını söyledi",Sağlık
"Ruh halinin bulaşıcı olduğu tespit edildi. Özellikle genç yetişkinler arasında hızla yayılan depresif ruh hali hakkında Uzman Klinik Psikolog ve Hipnoz Uzmanı Mehmet Başkak, bilgi verdi",Sağlık
"Beslenme ve Diyet Uzmanı Nur Ecem Baydı Ozman, C vitamini, fosfat, potasyum gibi birçok vitamin ve mineral içeren bu bitkinin kansere karşı korumadan hipertansiyonu düşürmeye dek çok önemli faydaları olduğunu söyledi",Sağlık
Son dönemlerde popülerlik kazanan bazı obezite ameliyatları hakkında uzmanlar uyardı,Sağlık
"Dünya Sağlık Örgütü raporuna göre, Avrupa ülkeleri 15 yıl sonra ciddi bir obezite sorunuyla karşı karşıya kalacak. İstisna oluşturan tek ülke ise Hollanda",Sağlık
"TÜİK verilerine göre, Türkiye'de günümüzde her üç yetişkinden biri fazla kilolu iken her altı yetişkinden biri obez",Sağlık
"Günlük hayatta bilmeden yapmış olduğumuz beslenme alışkanlıkları kansere davetiye çıkartıyor. Kanserin neden bu kadar çok arttığına anlam veremesek de, uzmanlarımız bilmeden yapmış olduğumuz bazı beslenme alışkanlıklarının karaciğer kanserine neden olduğunu ortaya çıkardı.",Sağlık
Prostat sağlığı için tüketilmesi gereken besinler,Sağlık
Peynirin sayısız faydalarının yanında birtakım zararları da olduğu konuşulup duruyor. Ancak uzmanlar her gün peynir yemenin yeni faydalarını ortaya çıkardı.,Sağlık
Kardiyoloji Uzmanı Doç. Dr. Refik Erdim özellikle kalp hastalarının 20 dakikadan uzun süren göğüs ağrısında zaman kaybetmeden bir sağlık kuruluşuna başvurmaları gerektiğine dikkat çekiyor.,Sağlık
Silikosiz bir meslek hastalığı olarak biliniyor. Son yıllarda gittikçe artarak devam eden silikozis hastalığı birçok ilde can alıyor ve ciddi ölümcül hastalıklara neden olabiliyor. ,Sağlık
"Uz. Dyt. Yeşim Temel Özcan, bağışıklık sistemini güçlendiren yöntemleri sıraladı.",Sağlık
Pek çok kişi ağız çalkalama suyunu ağız kokusundan kurtulmak ve ağızdaki zararlı bakterilerden kurtulmak için kullanıyor. Ancak uzmanlara göre bu temiz alışkanlık ağızdaki bakterileri öldürürken kronik hastalığa yol açıyor.,Sağlık
Beyin ve Sinir Cerrahisi Uzmanı Prof. Dr. Mustafa Bozbuğa bel ağrısının başka hastalıkların işareti olabileceğini söyledi ve çok önemli bilgiler verdi…,Sağlık
"Hareketli araçlarda kitap, dergi vb. okunurken hemen hemen herkes mide bulanması sorunuyla karşılaşabiliyor. Op. Dr. Levent Akçay, bu rahatsızlığın altında yatan bir sağlık sorunu olabileceğini belirterek, neden olabilecek sağlık sorunlarını açıkladı…",Sağlık
Göz kapağı düşüklüğü hastalık belirtisi mi?,Sağlık
Bağışıklık sisteminizin çöktüğünü gösteren önemli işaretler,Sağlık
"İç Hastalıkları, Gastroenteroloji ve Hepatoloji Uzmanı Prof. Dr. Yüksel Gümürdülü, sigarayla beraber içilen çayın oldukça tehlikeli sonuçlar ortaya çıkarabileceğini anlattı. ",Sağlık
"Kışın erken kararan havalar, gün ışığından az yararlanmak, soğuyan havalar ile fiziksel etkinlik alanlarımızın azalması yatkınlığı olan kişilerde kış depresyonuna neden olabiliyor. Psikiyatri Uzmanı Prof. Dr. Mustafa Sercan kış depresyonu hakkında en çok merak edilenleri cevapladı.",Sağlık
Sağlıklı ortodonti tedavisi için ağız hijyeni çok büyük önem taşır. Ortodontik tedavi gören hastaların en çok dikkat edeceği husus diş teli temizliğidir.,Sağlık
"Faydaları saymakla bitmeyen maydanoz düşündüğümüzden daha sağlıklı ve yararlı bir besindir. Kilo kaybından, astım hastalığına kadar birçok rahatsızlığa iyi gelen maydanoz oldukça az yap içerir. Maydanozun çok şaşıracağınız faydaları haberimizde…",Sağlık
Her gün balık yağı tüketmenin sağlığımıza pek çok faydası var. Balık yağının faydalarını sizler için sıraladık...,Sağlık
Çeşitli yöntemler ile dişlerimizi beyazlatmaya çalışırız. Bu bazen işe yarasa da aşırı kimyasal ve yanlış tedaviye maruz kalan dişler sararır. Fakat uzmanlar tek bir çözüm ile dişlerin beyazlatılacağı görüşünde. ,Sağlık
Burun tıkanıklığını açan sıradışı yöntem,Sağlık
Havaların soğumasıyla beraber salgın hastalıklar kendini iyiden iyiye göstermeye başladı. Peki sizlere evinizde bulunan malzemelerle hem hasta olmanızı engelleyecek hem de öksürük şurubu yerine geçecek bir tarif vereceğimizi söylesek?,Sağlık
"Çocuk Sağlığı ve Hastalıkları Uzmanı Prof. Dr. Emin Ünüvar, yorgun ve halsiz olmanın D vitamini eksikliğinden kaynaklandığını belirterek, D vitamini eksikliğini gidermenin yollarını ve D vitamini eksikliğinin nedenleri hakkında çarpıcı açıklamalarda bulundu.",Sağlık
Limon suyunun içerisine sarımsak atıp içmenin faydaları,Sağlık
Harvard'ın araştırması haftada 2 kez bile kuruyemiş tüketmenin ölümcül hastalığın önüne geçtiğini ortaya koydu.,Sağlık
"Diyabet hastalığının görülme sıklığı, obezite ile birlikte hızla artıyor. 20 yaş üzeri, her 7 kişiden birinin diyabetli olduğu belirtiliyor. ",Sağlık
"Toplumun yüzde 75'i hayatında en az 1 kez hemoroit sorunu yaşıyor. Günümüzün en yaygın rahatsızlıklarından biri olan hemoroit sorunu, erken farkındalıkla cerrahi müdahaleye gerek kalmadan çözülebiliyor. ",Sağlık
Kıl dönmesi Türkiye'de 10 kat daha fazla görülüyor! Özellikle masa başı çalışanları ve uzun süre hareketsiz kalanları tehlike altında bırakan kıl dönmesi için Genel Cerrahi Uzmanı Op. Dr. Fatih Kar uyardı,Sağlık
"İmmunoloji, otizm ve kanser hastalığı ilişkisi",Sağlık
Ballı armudun faydaları nelerdir?,Sağlık
Çinli bir profesör iğne ile yaptığı işlemle kalp krizinden kurtulunabileceğini idda ediyor. İşte şaşırtıcı ve alışılmamış bir yöntem olan iğne ile kalp krizinden kurtulma yöntemi…,Sağlık
Ayvanın tam mevsimindeyken onu her şeyiyle değerlendirmeye yemin edenler için ayva yaprağı çayının faydalarını haberimize taşıdık. ,Sağlık
Geven otu son yıllarda kalp ve kanser hastalıklarının çok fazla artmasıyla gündeme gelmiş kuvvetli bir ot çeşididir. Geven otu bitkisi Doğu ve Asya kültürlerindeki geleneksel tıp yöntemi olarak ilaç niyetine kullanılmaktadır ve birçok hastalığa da şifa olduğu bilinmektedir. ,Sağlık
Üşüttüğüm için ağrıyor” dediğiniz rahatsızlığınızın nedeni omuz donması olabilir. Omuz donması nasıl belirtilerle ortaya çıkar omuz donması neden olur diyorsanız işte cevapları…,Sağlık
"Detoks suyu, vücudunuzda biriken toksinleri atmasının yanı sıra aynı zamanda hızlı bir şekilde yağ yakmanıza yardımcı olabilir.",Sağlık
"Balığın kılçığı, kafası ve kuyruğu sağlık açısından oldukça faydalıdır diyen  Prof. Dr. Funda Elmacıoğlu, balık hakkındaki önerilerinden bahsetti.",Sağlık
Kefirin faydaları son dönemlerde insanlar tarafından oldukça merak ediliyor. Uzmanlar tarafından tüketilmesi tavsiye edilen fermente bir içecek olan kefirin sağlık açısından da çeşitli faydaları bulunmakta…  ,Sağlık
Nar kış mevsiminin altın meyvesi olarak bilinir. Narı ayıklamakla uğraşmak istemeyenler faydalarından nar suyu içerek de yararlanabilirler. ,Sağlık
Günde 100 gram kestanenin inanılmaz faydaları var,Sağlık
"Dünya da 7.6 milyar insan yaşıyor, 2 milyar insan yetersiz besleniyor, 815 milyon insan açlık sınırında, 700 milyon kişi obez ve dünyanın en büyük sorunu “Açlık ve Aşırı Şişmanlık!”",Sağlık
"Uzman Diyetisyen Şebnem Kandıralı Yıldırım, sarımsağın birçok faydası olduğunu ve sarımsağın nasıl tüketilmesi gerektiğini açıkladı.",Sağlık
Aç karnına zeytinyağı içmenin faydaları,Sağlık
Kışın favori içeceklerinden kuşburnunun sağlık açısından bir çok faydası bulunuyor. Kuşburnu sağlığımıza olan faydalarının yanı sıra cildimize de faydalar sağlayabiliyor. ,Sağlık
Sağlık açısından yeşil mandalinanın sarı mandalinaya göre daha faydalı olduğu ortaya çıktı.,Sağlık
Balın sağlığımız açısından bir çok faydası vardır. Ancak karakovan balı diğer ballardan farklıdır. Karakovan balının peteğini dahil olmak üzere arının kendisi yapmaktadır. Bu nedenle hem sağlıklı hem de lezzetli olması açısından diğer ballardan oldukça farklıdır. ,Sağlık
Sağlığımıza oldukça yararlı olan yeşil çay zayıflatır mı? ,Sağlık
"Cranberry (turna yemişi) suyu tüketimi, kadınlarda idrar yolu enfeksiyonu belirtilerini neredeyse %40'a kadar azaltabiliyor.",Sağlık
Ömre ömür katan Pioppi Diyeti,Sağlık
En kolay ve sağlıklı kilo verme yöntemleri,Sağlık
1 haftada 5 kilo verdiren 3'lü,Sağlık
1 haftada 3 kilo verdiren karanfil suyu tarifi,Sağlık
1 ayda 10 kilo verdiren diyet,Sağlık
Şeker hastaları için hipoglisemi diyeti,Sağlık
Uyurken yağ yakmanızı sağlayacak maydanoz suyu,Sağlık
Tatlı krizine iyi gelen zeytin yaprağı çayı tarifi,Sağlık
Bel ve basen bölgesini eritecek diyet listesi,Sağlık
1 haftada 7 kilo verdiren çikolata diyeti,Sağlık
"Kekik çayının faydaları, kekik çayı zayıflatır mı?",Sağlık
"Tohumlar bitkilere hayat veren besleyici kaynaklardır. Lif yönünden zengin olan tohumlar; içinde vitamin, mineral ve antioksidan barındırır. Beslenme alışkanlıklarına eklendiğinde tohumların kan şekerini, kolestrolü ve kan basıncını azalttığı kanıtlandı.",Sağlık
Mısır püskülü çayının faydaları,Sağlık
Vücuttaki demir seviyesini yükselten meyveler,Sağlık
"Demir eksikliği, anemiye neden olan başlıca sebeplerden bir tanesidir. Kadınlar adet döneminde ve doğumda fazla kan kaybedebilecekleri için demir eksikliği anemisi riskleri daha yüksektir.",Sağlık
Mandalina kabuklarının bilinmeyen faydaları,Sağlık
"12'nci yüzyılda Mısırlı bir doktor tarafından gribe ve soğuk algınlığına karşı ilaç olarak ilk kez önerildiği iddia edilen tavuk suyu çorbası, yüzyıllardır her kış mevsimi yaklaştığında tüketiliyor",Sağlık
"Psikiyatri Uzmanı Dr. Doğan Işık, insanların yanlış diyetler yaptıkça strese girdiğini ve stresin de daha çok yemek yeme isteğine neden olduğunu, bunun da bir kısır döngüye yol açarak, daha çok kilo almaya yol açtığını söyledi",Sağlık
Kış aylarında grip ve nezleden korunmak için güne yumurta ve süt gibi protein ağırlıklı bir kahvaltı ile başlayın. Sofranızdan balık ve cevizi eksik etmeyin ya da mutlaka Omega 3 takviyesi yapın,Sağlık
Diyabet tedavisinde kullanılan bazı ilaçlar B12 eksikliğine neden olabiliyor. Bu da unutkanlık ve anemiye yol açıyor. B12'den zengin kırmızı et ve deniz ürünlerini haftada en az iki gün tüketmeniz son derece önemli,Sağlık
"Prof. Dr. Nurgül Ceran, HIV'in kan transfüzyonu, korunmasız cinsel ilişki, anneden bebeğe gebelik veya emzirme sırasında, doku veya organ nakli yoluyla geçtiğini hatırlatarak, enfeksiyonun yüzde 50'sinden fazlasının cinsel yolla bulaştığını aktardı",Sağlık
"Prof. Dr. Mesut Sancar, Sağlık Bakanlığı'nın ""Akılcı Antibiyotik Kullanımı 2014-2017 Eylem Planı"" ile başarılı sonuçlar elde edildiğini, gereksiz antibiyotik kullanımının azalmaya başladığını belirtti",Sağlık
Migrene karşı antikor tedavisi geliştirildi. İngiltere'de geliştirilen antikor iğnesinin migren nöbetlerinin sayısını ve ağrıların şiddetini azalttığı tespit edildi,Sağlık
Diyabet tanısının gecikmesi kalıcı sorunlara yol açıyor!,Sağlık
"Kış mevsiminin vazgeçilmez yiyeceklerinin başında gelen kestanenin vitamin, mineral ve lif bakımından zengin olduğunu vurgulayan Beslenme ve Diyet Uzmanı Ulaş Özdemir, ""Kestane kan basıncı ve kolesterolü dengeler, bağışıklığı güçlendirir, kalbi korur, stresin zararlı etkilerini azaltır ve kas yorgunluğunu önler"" dedi.",Sağlık
"Diyabet, pankreas kanserinin belirtisi olabilir! Genel Cerrahi Uzmanı Prof. Dr. Alihan Gürkan, teşhisi de tedavisi de en zor kanser çeşidi olan pankreas kanseri ve cerrahisi hakkında bilgi verdi",Sağlık
Leptin diyeti nedir? Kilo vermeye yardımcı olur mu?,Sağlık
Soğuk algınlığı ve nezle için bitkisel tedaviler,Sağlık
Migrene karşı antikor tedavisi geliştirildi. İngiltere'de geliştirilen antikor iğnesinin migren nöbetlerinin sayısını ve ağrıların şiddetini azalttığı tespit edildi,Sağlık
Kilo vermek isteyenler için müjde gibi haberi bilim adamları verdi. Psikologlar yaptıkları araştırmalarda kilo vermeyi istemenin incelmenin en önemli şartı olduğunu keşfetti. ,Sağlık
"Afrika sardunyası kökü sıvı ekstresi içeren bitkisel ürünleri, soğuk algınlığının ilk 48 saatinde kullanmak şikayetlerin süresini 3 güne kadar kısaltıyor",Sağlık
Cinsel hayatı bitiren yiyecekler açıklandı,Sağlık
"Başım ağrıyor, bugün kendimi iyi hissetmiyorum gibi bahaneden ibaret. Yapılan araştırmalar sonucunda cinsel ilişkinin iyi geldiği hastalıklar ortaya çıktı",Sağlık
"Sık cinsel ilişkiye girmek, cinsel temasta bulunmak cinsel yolla bulaşan hastalıklara sebebiyet verebilir. Cinsel yolla bulaşan hastalıklar, ilerlediği takdirde ciddi sağlık sorunlarına sebep olabilir. ",Sağlık
 Uzmanlar yaş gruplarına göre senelik ve haftalık seks sayısını açıkladı.,Sağlık
Cinsel ilişki sırasında erkekler tarafından salgılanan sıvıların kadınlar üzerinde ilginç bir etkisi ortaya çıktı.,Sağlık
Bel soğukluğu belirtileri nelerdir?,Sağlık
"Uzmanlar, seks hayatını olumsuz yönde etkileyecek ve seks hayatının bitmesine neden olacak hastalıkları açıkladı.",Sağlık
Mutluluk meyvesi olarak bilinen Goji meyvesinin sağlık açısından oldukça faydalı olduğu biliniyor. Yaş olarak pek fazla piyasada bulunmayan goji meyvesinin uzmanlar tarafından kuru bir şekilde tüketilmesi tavsiye ediyor. ,Sağlık
Ev temizliği kilo verdirir mi?,Sağlık
Armut mevsiminde tüketildiğinde sağlığımız için sayısız faydalar sağlar.,Sağlık
"Anadolu'nun vazgeçilmez lezzetlerinin başında gelen çiğköfte, yapımında kullanılan bulgur,soğan,isot ve ceviz gibi insan sağlığına çok faydalı içeriğiyle, besin değeri en yüksek olan yiyeceklerin başında geliyor.",Sağlık
Dutun sağlığımıza sağladığı faydalar kadar dut yaprağı da sağlığımıza bir o kadar faydalıdır. Dut yaprağı birçok hastalıkta şifa niyetine kullanılmaktadır. ,Sağlık
Bayram sonrası alınan kalorileri hızlı bir şekilde yakmak için ve daha dinç bir şekilde yaşamınızı sürdürebilmeniz için sizlere etkili bir detoks önerimiz var.,Sağlık
